19274,# doc = MVI_1618.2.txt,,,,,,,,,,,,,,,,
19275,# speaker = Ольга,,,,,,,,,,,,,,,,
19276,# sent = 1426,,,,,,,,,,,,,,,,
19961,,такая,ТАКОЙ,APRO - nom sg plen f -,,,"страшная , она _такая_ , эта машина",я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
19962,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19963,,эта,ЭТОТ,APRO - nom sg plen f -,,,"она такая , _эта_ машина , эээ",а,т,э,,,,APRO,ЭТОТ,A - nom sg plen f -,Т
19964,,машина,МАШИНА,S f inan nom sg,,,"такая , эта _машина_ , эээ ,",а,н,и,ш,а,м,S,МАШИНА,S f inan nom sg,А
19965,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19966,,эээ,ЭЭЭ,INTJ,,,"эта машина , _эээ_ , ужасная и",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19967,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19968,,ужасная,УЖАСНЫЙ,A - nom sg plen f -,,,", эээ , _ужасная_ и эээ ог",я,а,н,с,а,ж,A,УЖАСНЫЙ,A - nom sg plen f -,Й
19969,,и,И,CONJ,,,"эээ , ужасная _и_ эээ ог ...",и,,,,,,CONJ,И,CONJ,И
19970,,эээ,ЭЭЭ,INTJ,,,", ужасная и _эээ_ ог ... огромная",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19971,,ог,ОГРОМНЫЙ,A - nom sg plen f -,distort,,ужасная и эээ _ог_ ... огромная ммм,г,о,,,,,NONLEX,ОГ,NONLEX,Й
19972,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19973,,огромная,ОГРОМНЫЙ,A - nom sg plen f -,,,эээ ог ... _огромная_ ммм огромное животное,я,а,н,м,о,р,A,ОГРОМНЫЙ,A - nom sg plen f -,Й
19974,,ммм,МММ,INTJ,,,"ог ... огромная _ммм_ огромное животное ,",м,м,м,,,,S,МММ,S n inan loc sg,М
19975,,огромное,ОГРОМНЫЙ,A - nom sg plen n -,,,"... огромная ммм _огромное_ животное , опустив",е,о,н,м,о,р,A,ОГРОМНЫЙ,A - nom sg plen n -,Й
19976,,животное,ЖИВОТНОЕ,S n anim nom sg,,,"огромная ммм огромное _животное_ , опустив эээ",е,о,н,т,о,в,S,ЖИВОТНОЕ,S n anim nom sg,Е
19977,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19978,,опустив,ОПУСТИТЬ,V pf praet pl indic - -,,,"огромное животное , _опустив_ эээ рог ,",в,и,т,с,у,п,V,ОПУСТИТЬ,V pf praet - ger - -,Ь
19979,,эээ,ЭЭЭ,INTJ,,,"животное , опустив _эээ_ рог , на",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19980,,рог,РОГ,S m inan acc sg,,,", опустив эээ _рог_ , на тебя",г,о,р,,,,S,РОГ,S m inan acc sg,Г
19981,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19982,,на,НА,PR,,,"эээ рог , _на_ тебя несется ,",а,н,,,,,PR,НА,PR,А
19983,,тебя,ТЫ,SPRO sg 2p - acc,,,"рог , на _тебя_ несется , эээ",я,б,е,т,,,SPRO,ТЫ,SPRO sg 2p - acc,Ы
19984,,несется,НЕСТИСЬ,V ipf praet pl indic - -,,,", на тебя _несется_ , эээ ,",я,с,т,е,с,е,V,НЕСТИСЬ,V ipf praes sg indic - 3p,Ь
19985,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19986,,эээ,ЭЭЭ,INTJ,,,"тебя несется , _эээ_ , ну поджилки",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19987,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19988,,ну,НУ,PART,,,", эээ , _ну_ поджилки трясутся на",у,н,,,,,PART,НУ,PART,У
19989,,поджилки,ПОДЖИЛКИ,S - inan nom pl,,,"эээ , ну _поджилки_ трясутся на самом",и,к,л,и,ж,д,S,ПОДЖИЛКИ,S - inan nom pl,И
19990,,трясутся,ТРЯСТИСЬ,V ipf praes pl indic - 3p,,,", ну поджилки _трясутся_ на самом деле",я,с,т,у,с,я,V,ТРЯСТИСЬ,V ipf praes pl indic - 3p,Ь
19991,,на,НА,PR,,,"ну поджилки трясутся _на_ самом деле ,",а,н,,,,,PR,НА,PR,А
19992,,самом,САМЫЙ,APRO - loc sg m,,,"поджилки трясутся на _самом_ деле , потому что",м,о,м,а,с,,A,САМЫЙ,A - loc sg plen n -,Й
19993,,деле,ДЕЛО,S n inan loc sg,,,"трясутся на самом _деле_ , потому что одно",е,л,е,д,,,S,ДЕЛО,S n inan loc sg,О
19994,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19995,,потому что,потому что,CONJ,,,"самом деле , _потому что_ одно дело в",о,т,ч,,у,м,CONJ,потому что,CONJ,о
19996,,одно,ОДИН,ANUM - nom sg plen n -,,,"деле , потому что _одно_ дело в книжечке",о,н,д,о,,,ANUM,ОДИН,A - nom sg plen n -,Н
19997,,дело,ДЕЛО,S n inan nom sg,,,", потому что одно _дело_ в книжечке посмотреть",о,л,е,д,,,S,ДЕЛО,S n inan nom sg,О
19998,,в,В,PR,,,"потому что одно дело _в_ книжечке посмотреть ,",в,,,,,,PR,В,PR,В
19999,,книжечке,КНИЖЕЧКА,S f inan loc sg,,,"одно дело в _книжечке_ посмотреть , другое",е,к,ч,е,ж,и,S,КНИЖЕЧКА,S f inan loc sg,А
20000,,посмотреть,ПОСМОТРЕТЬ,V pf - - inf - -,,,"дело в книжечке _посмотреть_ , другое дело",ь,т,е,р,т,о,V,ПОСМОТРЕТЬ,V pf - - inf - -,Ь
20001,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
20002,,другое,ДРУГОЙ,APRO - m nom sg,,,"книжечке посмотреть , _другое_ дело вот ...",е,о,г,у,р,д,A,ДРУГОЙ,A - nom sg plen n -,Й
20003,,дело,ДЕЛО,S n inan nom sg,,,"посмотреть , другое _дело_ вот ...",о,л,е,д,,,S,ДЕЛО,S n inan nom sg,О
20004,,вот,ВОТ,PART,,,", другое дело _вот_ ...",т,о,в,,,,PART,ВОТ,PART,Т
20005,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
20006,,,,,,,,,,,,,,,,,
20007,# sent = 1448,,,,,,,,,,,,,,,,
20008,,И,И,CONJ,,,... _И_ хотя мы понимали,и,,,,,,CONJ,И,CONJ,И
20009,,хотя,ХОТЯ,CONJ,,,"И _хотя_ мы понимали ,",я,т,о,х,,,CONJ,ХОТЯ,CONJ,Я
20010,,мы,МЫ,SPRO pl 1p - nom,,,"И хотя _мы_ понимали , что",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
20011,,понимали,ПОНИМАТЬ,V ipf praet sg indic f -,,,"И хотя мы _понимали_ , что нам",и,л,а,м,и,н,V,ПОНИМАТЬ,V ipf praet pl indic - -,Ь
20012,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
20013,,что,ЧТО,CONJ,,,"мы понимали , _что_ нам носорог ничего",о,т,ч,,,,CONJ,ЧТО,CONJ,О
20014,,нам,МЫ,SPRO pl 1p - dat,,,"понимали , что _нам_ носорог ничего не",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
20015,,носорог,НОСОРОГ,S m anim nom sg,,,", что нам _носорог_ ничего не сможет",г,о,р,о,с,о,S,НОСОРОГ,S m anim nom sg,Г
20016,,ничего,НИЧТО,SPRO n inan gen sg,,,что нам носорог _ничего_ не сможет сделать,о,г,е,ч,и,н,SPRO,НИЧТО,S n - gen sg,О
20017,,не,НЕ,PART,,,"нам носорог ничего _не_ сможет сделать ,",е,н,,,,,PART,НЕ,PART,Е
20018,,сможет,СМОЧЬ,V pf fut sg indic - 3p,,,"носорог ничего не _сможет_ сделать , он",т,е,ж,о,м,с,V,СМОЧЬ,V pf fut sg indic - 3p,Ь
20019,,сделать,СДЕЛАТЬ,V pf fut pl indic- 1p,,,"ничего не сможет _сделать_ , он до",ь,т,а,л,е,д,V,СДЕЛАТЬ,V pf - - inf - -,Ь
20020,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
20021,,он,ОН,SPRO sg 3p m nom,,,"сможет сделать , _он_ до нас никак",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
20022,,до,ДО,PR,,,"сделать , он _до_ нас никак не",о,д,,,,,PR,ДО,PR,О
20023,,нас,МЫ,SPRO pl 1p - gen,,,", он до _нас_ никак не дотянется",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
20024,,никак,НИКАК,ADV -,,,"он до нас _никак_ не дотянется ,",к,а,к,и,н,,ADV,НИКАК,ADV -,К
20025,,не,НЕ,PART,,,"до нас никак _не_ дотянется , никак",е,н,,,,,PART,НЕ,PART,Е
20026,,дотянется,ДОТЯНУТЬСЯ,V pf fut sg indic - 3p,,,"нас никак не _дотянется_ , никак он",я,с,т,е,н,я,V,ДОТЯНУТЬСЯ,V pf fut sg indic - 3p,Я
20027,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
20028,,никак,НИКАК,ADV -,,,"не дотянется , _никак_ он на ..",к,а,к,и,н,,ADV,НИКАК,ADV -,К
20029,,он,ОН,SPRO sg 3p m nom,,,"дотянется , никак _он_ на .. нас",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
20030,,на,НА,PR,,,", никак он _на_ .. нас не",а,н,,,,,PR,НА,PR,А
20031,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
20032,,нас,МЫ,SPRO pl 1p -acc,,,он на .. _нас_ не .. не,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
20033,,не,НЕ,PART,,,на .. нас _не_ .. не повредит,е,н,,,,,PART,НЕ,PART,Е
20034,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
20035,,не,НЕ,PART,,,"нас не .. _не_ повредит , но",е,н,,,,,PART,НЕ,PART,Е
20036,,повредит,ПОВРЕДИТЬ,V pf praet - ger - -,,,"не .. не _повредит_ , но стоять",т,и,д,е,р,в,V,ПОВРЕДИТЬ,V pf fut sg indic - 3p,Ь
20037,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
20038,,но,НО,CONJ,,,"не повредит , _но_ стоять рядом с",о,н,,,,,CONJ,НО,CONJ,О
20039,,стоять,СТОЯТЬ,V ipf - - inf - -,,,"повредит , но _стоять_ рядом с ограждением",ь,т,я,о,т,с,V,СТОЯТЬ,V ipf - - inf - -,Ь
20040,,рядом,РЯДОМ,ADV -,,,", но стоять _рядом_ с ограждением было",м,о,д,я,р,,ADV,РЯДОМ,ADV -,М
20041,,с,С,PR,,,но стоять рядом _с_ ограждением было страшно,с,,,,,,PR,С,PR,С
20042,,ограждением,ОГРАЖДЕНИЕ,S n inan ins sg,,,стоять рядом с _ограждением_ было страшно .,м,е,и,н,е,д,S,ОГРАЖДЕНИЕ,S n inan ins sg,Е
20043,,было,БЫТЬ,V pf - - inf - -,,,рядом с ограждением _было_ страшно .,о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
20044,,страшно,СТРАШНО,ADV -,,,с ограждением было _страшно_ .,о,н,ш,а,р,т,ADV,СТРАШНО,ADV -,О
20045,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
20046,,,,,,,,,,,,,,,,,
20047,# sent = 1449,,,,,,,,,,,,,,,,
20048,"<distinct form=""",,,,,,,,,,,,,,,,
20049,<dist>,от,,,,,,,,,,,,,,,
20050,""">",,,,,,,,,,,,,,,,
20051,,вот,ВОТ,PART,,,"от _вот_ , так что",т,о,в,,,,PART,ВОТ,PART,Т
20052,</distinct>,,,,,,,,,,,,,,,,
20053,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
20054,,так что,так что,CONJ,,,"вот , _так что_ всем советую .",о,т,ч,,к,а,CONJ,так что,CONJ,о
20055,,всем,ВСЕ,SPRO - - dat pl,,,", так что _всем_ советую .",м,е,с,в,,,S,ВСЕ,S - - dat pl,Е
20056,,советую,СОВЕТОВАТЬ,V ipf praes sg indic - 3p,,,", так что всем _советую_ .",ю,у,т,е,в,о,V,СОВЕТОВАТЬ,V ipf praes sg indic - 1p,Ь
